Origem,Midia,Receita,Visitas
Google CPC,AD_S - Institucional - (exata),1427903.0,159659
Google CPC,AD_S - Institucional - (ampla),179683.69,23107
Google CPC,*AD_S - CZA - Panela Elétrica - Top,164696.93,18087
Google CPC,AD_S - SHP - Todos os Produtos (Nova),164244.45,45074
Google CPC,AD_S - Esporte - Top,82084.96,12191
Google CPC,AD_S - DSA,53430.33,17895
Google CPC,*AD_S - CZA - Fritadeiras Elétricas Marcas,30485.72,5675
Google CPC,*AD_S - BLZ - Gen. - Escova Rotativa,22331.13,7928
Google CPC,AD_S - BLZ - LGTAIL - Aparador Multigroom,13826.21,2017
Google CPC,Outros,196889.85,112793
Orgânico,Orgânico,1946372.60,301256
Direto,Direto,1971071.53,233224
Retargeting,Criteo,588317.59,68618
Retargeting,Next Performance,0.00,16
Buscadores,Buscapé,45421.50,4976
Buscadores,Busca Desconto,6952.27,2747
Buscadores,Price Finder,89266.24,15629
Email,Proxymedia,95809.55,18290
Email,Responsys,370463.98,27697
Midia,MSN,568.35,45
Midia,BOL,0.00,6
Midia,Outlook,0.00,7
Midia,Yahoo,308072.01,83708
Midia,UOL,16402.43,1348
Midia,IG,7984.41,301
Midia,Dotz,477.28,14
Midia,Globo,3040.13,389
Midia,Terra,2824.76,208
Midia,R7,0.00,35
Afiliados,Lomadee,246620.93,56351
Afiliados,Net Affiliation,212213.38,25853
Afiliados,City Ads,85245.93,127253
Afiliados,Afilio,171429.66,221092
Referência,Referência,583134.20,66001
